group,run_dir,seed,n_params,mean_iter_time_s,total_time_s,peak_rss_mb,loss_final,L2_u_global_pct,L2_f_global_pct,L2_u_t0_pct,L2_u_boundary_pct,L2_u_interior_pct
cross_mesh,results/kg_dv_angle_cross_mesh_seed1/2026-09-02_05-00-31-764091,1,796,0.30286343754267153,6057.716473340988,549.59765625,0.0973752960562706,4.732322320342064,1.3507629744708538,0.7526086643338203,1.4456499367952347,4.788985848426819
cross_mesh,results/kg_dv_angle_cross_mesh_seed10/2026-09-02_06-42-38-344698,10,796,0.27694632196471475,5539.3323533535,548.51953125,0.3213149905204773,10.213082283735275,1.3636131770908833,2.6760615408420563,3.616088256239891,10.33107340335846
cross_mesh,results/kg_dv_angle_cross_mesh_seed2/2026-09-02_05-00-31-764227,2,796,0.30266308462119235,6053.709897518158,549.0,0.47333264350891113,3.216744214296341,1.2301338836550713,1.1147069744765759,1.8794620409607887,3.2447680830955505
cross_mesh,results/kg_dv_angle_cross_mesh_seed3/2026-09-02_05-00-31-754690,3,796,0.3033360085334177,6067.162155389786,550.65625,0.6009571552276611,7.4729591608047485,1.4454634860157967,1.4886737801134586,3.003138303756714,7.555747032165527
cross_mesh,results/kg_dv_angle_cross_mesh_seed4/2026-09-02_05-00-31-749494,4,796,0.30167480804040425,6033.942772388458,550.015625,0.17579007148742676,8.670003712177277,1.997135952115059,0.9856455028057098,1.7335696145892143,8.779885619878769
cross_mesh,results/kg_dv_angle_cross_mesh_seed5/2026-09-02_05-00-31-749516,5,796,0.3051970139625494,6104.390367507935,550.38671875,0.09497660398483276,4.88208644092083,0.8246989920735359,1.2341241352260113,1.326610054820776,4.941791668534279
cross_mesh,results/kg_dv_angle_cross_mesh_seed6/2026-09-02_05-00-31-762388,6,796,0.3004992216665025,6010.4262664318085,546.32421875,0.22725965082645416,6.028059497475624,2.0294437184929848,3.6398660391569138,3.6044813692569733,6.079292297363281
cross_mesh,results/kg_dv_angle_cross_mesh_seed7/2026-09-02_06-42-38-331678,7,796,0.27304765392001834,5461.353560209274,547.5625,0.056957751512527466,5.379125848412514,1.0927450843155384,3.2811466604471207,2.6165639981627464,5.433405563235283
cross_mesh,results/kg_dv_angle_cross_mesh_seed8/2026-09-02_06-42-38-331609,8,796,0.2714550560162735,5429.502986907959,545.99609375,0.23499812185764313,4.072890058159828,1.5705520287156105,0.6664060521870852,2.5144044309854507,4.106240347027779
cross_mesh,results/kg_dv_angle_cross_mesh_seed9/2026-09-02_06-42-38-270608,9,796,0.2746594859208307,5493.595228672028,547.6171875,0.33108311891555786,7.733755558729172,1.05914156883955,0.712429964914918,2.367217279970646,7.826319336891174
amp_cascade,results/kg_dv_amplitude_cascade_seed1/2026-09-02_08-15-19-706753,1,771,0.5595879654554585,11192.46549296379,685.32421875,1.1080641746520996,13.804367184638977,4.240859299898148,3.262091428041458,6.65617361664772,13.944414258003235
amp_cascade,results/kg_dv_amplitude_cascade_seed2/2026-09-02_08-15-19-700577,2,771,0.5629509722290025,11259.729339122772,638.28125,4.8018479347229,14.187254011631012,5.636967718601227,5.315835401415825,8.413268625736237,14.308930933475494
amp_cascade,results/kg_dv_amplitude_cascade_seed3/2026-09-02_08-15-19-718266,3,771,0.5590568746665738,11181.846418619156,676.12890625,1.4934968948364258,52.16909050941467,2.1642999723553658,46.72005772590637,43.39323043823242,52.382224798202515
amp_cascade,results/kg_dv_amplitude_cascade_seed4/2026-09-02_08-15-19-717420,4,771,0.5551253420297848,11103.21432518959,680.2890625,0.34597161412239075,8.115396648645401,2.007271908223629,2.822408452630043,4.471387714147568,8.190137147903442
amp_cascade,results/kg_dv_amplitude_cascade_seed5/2026-09-02_08-15-19-721260,5,771,0.5589725475454124,11180.158534526825,681.01953125,2.3805458545684814,15.281878411769867,3.2760750502347946,4.70462441444397,6.42424002289772,15.44811725616455
